CASHEW 4PC,DRY FRUITS,GENERAL,GST 18%,300,354,0,450,400,KGS,1,,,0
CASHEW 5/-,AMAR,GENERAL,GST 0%,190,190,0,240,230,BUNDAL,60,CASH BILL,801,0
CASHEW FULL 1KG,DRY FRUITS,GENERAL,GST 18%,490,578.2,0,700,650,KGS,1,,802,0
CHAAT MASALA 100GM,MASALA,EVEREST,GST 18%,49.62,55.9,62,600,580,BUNDAL,10,SREE SAPTHAGIRI ENTERPRISES,,0
CHAKRA GOLD 100GM,BEVERAGES,TATA,GST 5%,61.23,64.29,70,8160,7920,PKT,120,SRI VISHNU AGENCIES,9023020,0
CHAKRA GOLD 1KG,BEVERAGES,TATA,GST 5%,428.57,450,530,11520,11040,PKT,24,SRI VISHNU AGENCIES,9023020,0
CHAKRA GOLD 250GM,BEVERAGES,TATA,GST 5%,148.73,156.17,170,7920,7680,PKT,48,SRI VISHNU AGENCIES,9023020,0
CHANDANA 25KG,HALF BOILED,GENERAL,GST 0%,42,42,0,1200,1150,BAG,25,,1006,0
CHANDRIKA 75GM,SOAP,WIPRO,GST 18%,20.34,24,27,26,25,NOS,60,SRI LAKSHMI ENTERPRISES,3401,0
CHANNA 30KG,DALL,GENERAL,GST 0%,64.7,65,2900,2050,2020,KGS,1,DAIMOND TRADING COMPANY,713,0
CHEQUE RETURN,GENERAL,GENERAL,GST 0%,450,450,450,450,450,NOS,1,MANI BAJI SHOP,,0
CHIK BLK PRO 5M+1M,SHAMPOO,CALVIN CARE,GST 18%,0.77,0.76,1,18,16,SHEETS,1920,SRI PONNIAMMAN AGENCY,33051090,0
CHIK EGG HR 5M+1M,SHAMPOO,CALVIN CARE,GST 18%,0.77,0.78,1,18,16,SHEETS,1920,SRI PONNIAMMAN AGENCY,33051090,0
CHIK JAS SOYA 5M+1M,SHAMPOO,CALVIN CARE,GST 18%,0.77,0.76,1,18,16,SHEETS,1920,SRI PONNIAMMAN AGENCY,33051090,0
CHIKKI 2/-,SNACKS,PARLE,GST 5%,1.55,1.63,2,200,180,BOTTLE,100,R.K MARKETING,1702,0
CHIKKI 5/-,SNACKS,PARLE,GST 5%,3.81,4,5,200,180,BOTTLE,40,R.K MARKETING,21069099,0
CHILLI BIG 10KG,SPICES,GENERAL,GST 0%,1700,1700,0,2100,2050,BAG,10,CASH BILL,904,0
CHILLI BYDAGI 10KG,SPICES,GENERAL,GST 0%,240,240,0,3600,3500,KGS,10,,904,0
CHILLI ROUND 20KG,SPICES,GENERAL,GST 0%,170,170,250,2500,2350,KGS,20,CASH BILL,904,0
CHILLI SAUCE 1LTR,SAUCE,GENERAL,GST 0%,20.85,22,0,400,350,BOX,12,,904,0
CHILLI SMALLS 10KG,SPICES,GENERAL,GST 0%,160,160,0,2200,2000,KGS,10,,904,0
CHILLI STEEMLESS 10KG,SPICES,GENERAL,GST 0%,150,150,0,2500,2300,KGS,10,,904,0
CHOCO ECLAIRS 185GM,CHOCOLATE,ITC,GST 12%,0,0,50,0,0,PKT,14,SHREE SHANER AGANICES,1806,0
CHOCOS 10/-,SNACKS,KELOCKS,GST 0%,0,0,10,10,0,SHEETS,1,,,0
