MOMS MAGIC CAHEW & ALM 67.5G,BISCUITS,GST 18%,GST 18%,7.73,9.12,10,10,9.5,NOS,1905
MOMS MAGIC CASHEW & ALM 38.5G,BISCUITS,GST 18%,GST 18%,3.87,4.57,5,5,4.8,NOS,1905
MOMS MAGIC RICH BUTTER 38.5G,BISCUITS,GST 18%,GST 18%,3.87,4.57,5,60,58,BUNDLE,1905
MOMS MAGIC RICH BUTTER 90G,BISCUITS,GST 18%,GST 18%,7.73,9.12,10,10,9.5,NOS,1905
MOONG SMN 30KG,DALL,GST 0%,GST 0%,2451.42,2451.42,5900,3800,3500,BAG,0713
MOONG VASAVI 30KG,DALL,GST 0%,GST 0%,3000,3000,0,3100,3050,BAG,0713
MSF 999 GOLD 25KG,HALF BOILED,GST 0%,GST 0%,1080,1080,0,1200,1150,BAG,1006
MUSTARD 50GM,SPICES,GST 0%,GST 0%,80,80,0,100,90,BUNDAL,1207
MV HMT,RAW RICE,GST 0%,GST 0%,1036.37,1036.37,2400,1250,1150,BAG,1006
N NOODLES 400GM,NOODLES,GST 0%,GST 0%,1180,1180,0,1250,1200,BAG,19023010
NANDHINI GHEE 1LTR,GHEE,GST 12%,GST 12%,4392.86,4920,6500,5040,5000,BOX,0405
NANDHINI GHEE 200ML,GHEE,GST 12%,GST 12%,4414.29,4944,0,5040,5000,BOX,0405
NANDHINI GHEE 500ML,GHEE,GST 12%,GST 12%,4414.29,4944,5200,5040,5000,BOX,0405
NATTU SAKARE,SUGAR,VAT 0 %,VAT 0 %,1450,1450,1800,1550,1500,BAG,
NIMWASH VEG&FRUIT WASH 150ML,WASHING,GST 18%,GST 18%,23.11,27.27,30,30,28.5,PKT,3402 20 10
OMOM,MASALA,GST 0%,GST 0%,180,180,0,265,260,KGS,90189044
ORANGE MAIDA 50KG,FLOUR,GST 0%,GST 0%,1435,1460,4500,1500,1480,BAG,1106
PAM OIL TIN,PAM OIL,GST 5%,GST 5%,1480,1554,0,1600,1580,TIN,1508
PAPAD 100GM,PAPAD,GST 0%,GST 0%,150,150,0,200,175,KGS,1904
PAPAD 150GM,PAPAD,GST 0%,GST 0%,30,30,0,50,45,PKT,1904
PAPAD 1KG,PAPAD,GST 0%,GST 0%,150,150,0,200,175,PKT,1904
PAPAD 200GM,PAPAD,GST 0%,GST 0%,150,150,0,200,175,KGS,1904
PAPAD 500GM,PAPAD,GST 0%,GST 0%,150,150,0,200,175,KGS,1904
PARCEL COVER 13X13,COVER,GST 5%,GST 5%,120,126,180,150,140,NOS,3926
PARCEL COVER 5X6,COVER,GST 5%,GST 5%,30,31.5,45,40,35,NOS,3926
PARCEL COVER 5X8,COVER,GST 5%,GST 5%,30,31.5,45,40,35,NOS,3926
PARLE MARIE 10/-,BISCUITS,GST 18%,GST 18%,7.57,8.75,10,120,110,BUNDLE,19059020
PARLE MARIE 5/-,BISCUITS,GST 18%,GST 18%,3.78,4.37,5,60,57,BUNDLE,19059020
PARLE-G 10GM,BISCUITS,GST 18%,GST 18%,3.85,4.45,5,60,58,BUNDAL,19059020
PAT CHAKKI ATTA 5KG,FLOUR,GST 0%,GST 0%,1020,1020,0,1100,1080,BAG,1106
